rho	e	dif	type
0	0	0.00883094850038869	Method 1
0	0	-0.00361921046985417	Method 1
0	0	0.0541159065743776	Method 1
0	0	0.0278142625182116	Method 1
0	0	0.0392509177996476	Method 1
0	0	-0.0337162145675734	Method 1
0	0	0.00141444242526362	Method 1
0	0	-0.039475228398074	Method 1
0	0	-0.00278336828751409	Method 1
0	0	0.0613330217622546	Method 1
0	0	0.0151881803698238	Method 1
0	0	0.00564136884352285	Method 1
0	0	-0.00893816221421325	Method 1
0	0	0.0345000391715863	Method 1
0	0	0.00218064235564794	Method 1
0	0	-0.0170905307293455	Method 1
0	0	0.0314779003536146	Method 1
0	0	0.0236576857634646	Method 1
0	0	-0.0144547283250733	Method 1
0	0	-0.070620660892899	Method 1
0	0	0.0368794160146154	Method 1
0	0	0.0391036364233859	Method 1
0	0	-0.0232008813801276	Method 1
0	0	-0.0131312509785743	Method 1
0	0	0.0193368213534509	Method 1
0	0	-0.0274207173568381	Method 1
0	0	0.0264014950635259	Method 1
0	0	0.0204904257733786	Method 1
0	0	-0.0544312168631457	Method 1
0	0	0.0645841088690241	Method 1
0	0	0.053927378200766	Method 1
0	0	0.0853863404424982	Method 1
0	0	0.00749211847253969	Method 1
0	0	-0.00222849308308641	Method 1
0	0	0.0431302736029851	Method 1
0	0	0.0132930577112439	Method 1
0	0	-0.031353358048495	Method 1
0	0	-0.0288485347813261	Method 1
0	0	0.00391352527199124	Method 1
0	0	-0.0388686794854463	Method 1
0	0	0.0291174537843202	Method 1
0	0	0.0319576805794846	Method 1
0	0	0.0455018950257793	Method 1
0	0	-0.0283623282688162	Method 1
0	0	0.00955715222767147	Method 1
0	0	-0.0346838211390543	Method 1
0	0	-0.040064350097315	Method 1
0	0	0.000732236078497315	Method 1
0	0	-0.0291247021812637	Method 1
0	0	-0.0179974660278843	Method 1
0	0	-0.0349724509187924	Method 1
0	0	0.0100316939365952	Method 1
0	0	-0.0590057432205055	Method 1
0	0	-0.0203562007609108	Method 1
0	0	0.0638572472304571	Method 1
0	0	-0.00983789580278097	Method 1
0	0	0.0239411335041829	Method 1
0	0	-0.015842020973967	Method 1
0	0	0.00112792771128641	Method 1
0	0	-0.0419742200174128	Method 1
0	0	0.0505830065430262	Method 1
0	0	-0.00238993220029877	Method 1
0	0	-0.0127540314412743	Method 1
0	0	0.00416218581979272	Method 1
0	0	-0.0229102647054886	Method 1
0	0	0.009565238321097	Method 1
0	0	-0.00507805440148887	Method 1
0	0	0.0153033765247524	Method 1
0	0	-0.0127914447960127	Method 1
0	0	-0.00244907153437725	Method 1
0	0	0.0140412953186438	Method 1
0	0	-0.0504145222522501	Method 1
0	0	0.00640989517310006	Method 1
0	0	0.0320639242528563	Method 1
0	0	-0.022507996498999	Method 1
0	0	-0.0147941924521423	Method 1
0	0	-0.025940468535439	Method 1
0	0	-0.0283886412295997	Method 1
0	0	0.0339771228019942	Method 1
0	0	-0.0141385192188506	Method 1
0	0	0.00649235406501909	Method 1
0	0	-0.0157086566677926	Method 1
0	0	0.0219015231440092	Method 1
0	0	0.0163177968208354	Method 1
0	0	0.0216287540695687	Method 1
0	0	0.0278411668741737	Method 1
0	0	-0.0242322918543309	Method 1
