rho	e	dif	type
0	0	0.0331850831811214	Method 1
0	0	-0.00431128276805648	Method 1
0	0	0.0290320743502881	Method 1
0	0	0.0322727101497369	Method 1
0	0	-0.0223530316752941	Method 1
0	0	-0.0364977924221109	Method 1
0	0	-0.0191468767394825	Method 1
0	0	-0.0159687760848383	Method 1
0	0	-0.0355842852299821	Method 1
0	0	0.0141343042887717	Method 1
0	0	0.0461050656144731	Method 1
0	0	-0.0108888574964094	Method 1
0	0	-0.0262283667624409	Method 1
0	0	-0.0171824436785214	Method 1
0	0	-0.0949614045888687	Method 1
0	0	0.0190650105564176	Method 1
0	0	0.05381873003825	Method 1
0	0	0.0690602876642985	Method 1
0	0	-0.024982312202576	Method 1
0	0	-0.0233190710954902	Method 1
0	0	-0.00715809882888965	Method 1
0	0	-0.0536352426310451	Method 1
0	0	-0.0175412791211968	Method 1
0	0	0.0261731080313116	Method 1
0	0	0.0283631098315818	Method 1
0	0	0.030391599993679	Method 1
0	0	-0.00944596390032998	Method 1
0	0	-0.0202258233516867	Method 1
0	0	0.0147633344661771	Method 1
0	0	0.00697450140618439	Method 1
0	0	0.0226900093944115	Method 1
0	0	0.0148494920398938	Method 1
0	0	0.00739290176208982	Method 1
0	0	-0.0171405292249453	Method 1
0	0	-0.0304690442702953	Method 1
0	0	0.0226900093944115	Method 1
0	0	0.0337055383819791	Method 1
0	0	0.0251399978504163	Method 1
0	0	-0.0339531457036333	Method 1
0	0	0.00346479577101576	Method 1
0	0	0.0108253171661909	Method 1
0	0	0.0125273156497213	Method 1
0	0	-0.0073526807193871	Method 1
0	0	-0.0177158833186347	Method 1
0	0	-0.0216261057008725	Method 1
0	0	-0.0616306893349901	Method 1
0	0	-0.0435321189812488	Method 1
0	0	-0.0221965827654933	Method 1
0	0	-0.0553910727002576	Method 1
0	0	0.0404491598804416	Method 1
0	0	0.00532653756220725	Method 1
0	0	-0.0393773297047998	Method 1
0	0	-0.0116529417228335	Method 1
0	0	-0.00755901397915979	Method 1
0	0	-0.0023399631457289	Method 1
0	0	0.00760662597036923	Method 1
0	0	-0.0128269568699631	Method 1
0	0	-0.0522331979689621	Method 1
0	0	-0.0180607655253049	Method 1
0	0	0.0112911126947066	Method 1
0	0	0.00960270803140993	Method 1
0	0	-0.0857192800052851	Method 1
0	0	0.0610671843545085	Method 1
0	0	-0.0482145927375731	Method 1
0	0	0.0341635784177065	Method 1
0	0	-0.0179164750425064	Method 1
0	0	-0.0325446222085958	Method 1
0	0	-0.0416196859084688	Method 1
0	0	0.0385269720480335	Method 1
0	0	0.0111535715685217	Method 1
0	0	-0.0266688977762853	Method 1
0	0	0.0247362228379556	Method 1
0	0	-0.00926540368092451	Method 1
0	0	-0.044158969444114	Method 1
0	0	0.00569743501314318	Method 1
0	0	0.00760949689656516	Method 1
0	0	-0.0457074863447	Method 1
0	0	-0.0429613391046044	Method 1
0	0	0.0461050656144731	Method 1
0	0	-0.10194614612379	Method 1
0	0	0.0093658203269294	Method 1
0	0	-0.00153151978135704	Method 1
0	0	-0.029178891633095	Method 1
0	0	0.0169418605234643	Method 1
0	0	0.011813802547594	Method 1
0	0	-0.0229371184554783	Method 1
0	0	-0.0269277188514832	Method 1
0	0	-0.0258456634744782	Method 1
0	0	0.0347326858997714	Method 1
0	0	-0.0212387700009506	Method 1
0	0	0.0645485637418867	Method 1
0	0	0.0171981186888434	Method 1
