rho	e	Marginal pval	Multivariate pval	type
0	0	0.712268	0.6403239	Nonadmixed Indep
0	0	0.988555	0.9806832	Nonadmixed Indep
0	0	0.1211	0.2231503	Nonadmixed Indep
0	0	0.0996845	0.00636221	Nonadmixed Indep
0	0	0.795999	0.8807665	Nonadmixed Indep
0	0	0.497838	0.8648727	Nonadmixed Indep
0	0	0.48963	0.8157489	Nonadmixed Indep
0	0	0.378822	0.7144867	Nonadmixed Indep
0	0	0.160687	0.2782363	Nonadmixed Indep
0	0	0.948807	0.8248763	Nonadmixed Indep
0	0	0.855888	0.3009213	Nonadmixed Indep
0	0	0.673343	0.324296	Nonadmixed Indep
0	0	0.3123	0.6110638	Nonadmixed Indep
0	0	0.00722796	0.182291	Nonadmixed Indep
0	0	0.762876	0.7514774	Nonadmixed Indep
0	0	0.555858	0.8973802	Nonadmixed Indep
0	0	0.298797	0.6110268	Nonadmixed Indep
0	0	0.438877	0.5127918	Nonadmixed Indep
0	0	0.323281	0.8338128	Nonadmixed Indep
0	0	0.616243	0.8066913	Nonadmixed Indep
0	0	0.684889	0.9558958	Nonadmixed Indep
0	0	0.137621	0.1328984	Nonadmixed Indep
0	0	0.0544309	0.08753245	Nonadmixed Indep
0	0	0.832541	0.881013	Nonadmixed Indep
0	0	0.915079	0.9417829	Nonadmixed Indep
0	0	0.121797	0.06347666	Nonadmixed Indep
0	0	0.792429	0.6660009	Nonadmixed Indep
0	0	0.724722	0.7561986	Nonadmixed Indep
0	0	0.414089	0.5911292	Nonadmixed Indep
0	0	0.098857	0.2874281	Nonadmixed Indep
0	0	0.703113	0.5752761	Nonadmixed Indep
0	0	0.575293	0.6775611	Nonadmixed Indep
0	0	0.858544	0.7595408	Nonadmixed Indep
0	0	0.563472	0.3345705	Nonadmixed Indep
0	0	0.655415	0.3829745	Nonadmixed Indep
0	0	0.716842	0.7912592	Nonadmixed Indep
0	0	0.812448	0.9412374	Nonadmixed Indep
0	0	0.0682428	0.1726426	Nonadmixed Indep
0	0	0.677078	0.957924	Nonadmixed Indep
0	0	0.361853	0.1705871	Nonadmixed Indep
0	0	0.638496	0.6012486	Nonadmixed Indep
0	0	0.026959	0.05162716	Nonadmixed Indep
0	0	0.559074	0.9071375	Nonadmixed Indep
0	0	0.289675	0.8773003	Nonadmixed Indep
0	0	0.568838	0.7495458	Nonadmixed Indep
0	0	0.914316	0.7897757	Nonadmixed Indep
0	0	0.630259	0.5287867	Nonadmixed Indep
0	0	0.422351	0.06922524	Nonadmixed Indep
0	0	0.0724103	0.0541241	Nonadmixed Indep
0	0	0.0283617	0.1551197	Nonadmixed Indep
0	0	0.513081	0.7363554	Nonadmixed Indep
0	0	0.527348	0.8270962	Nonadmixed Indep
0	0	0.664591	0.4715639	Nonadmixed Indep
0	0	0.424349	0.5365661	Nonadmixed Indep
0	0	0.849984	0.911903	Nonadmixed Indep
0	0	0.769773	0.5008679	Nonadmixed Indep
0	0	0.198293	0.8215983	Nonadmixed Indep
0	0	0.544044	0.5210893	Nonadmixed Indep
0	0	0.954096	0.3581836	Nonadmixed Indep
0	0	0.268293	0.1586859	Nonadmixed Indep
0	0	0.909269	0.4697737	Nonadmixed Indep
0	0	0.960842	0.9271649	Nonadmixed Indep
0	0	0.572315	0.953277	Nonadmixed Indep
0	0	0.365232	0.3808003	Nonadmixed Indep
0	0	0.107626	0.6203685	Nonadmixed Indep
0	0	0.354529	0.741093	Nonadmixed Indep
0	0	0.113114	0.4879984	Nonadmixed Indep
0	0	0.520099	0.3962776	Nonadmixed Indep
0	0	0.317488	0.7775585	Nonadmixed Indep
0	0	0.751372	0.7518311	Nonadmixed Indep
0	0	0.25678	0.7116376	Nonadmixed Indep
0	0	0.453472	0.6388905	Nonadmixed Indep
0	0	0.833487	0.5868787	Nonadmixed Indep
0	0	0.0255789	0.342686	Nonadmixed Indep
0	0	0.64138	0.9777933	Nonadmixed Indep
0	0	0.0114612	0.003908305	Nonadmixed Indep
0	0	0.857346	0.9121441	Nonadmixed Indep
0	0	0.0752823	0.1267195	Nonadmixed Indep
0	0	0.0917742	0.3922989	Nonadmixed Indep
0	0	0.454122	0.7549068	Nonadmixed Indep
0	0	0.392379	0.2258743	Nonadmixed Indep
0	0	0.0297143	0.2580439	Nonadmixed Indep
0	0	0.460625	0.1005045	Nonadmixed Indep
0	0	0.701695	0.9192789	Nonadmixed Indep
0	0	0.396052	0.8941189	Nonadmixed Indep
0	0	0.265957	0.7524899	Nonadmixed Indep
0	0	0.733384	0.05836529	Nonadmixed Indep
0	0	0.774618	0.5329692	Nonadmixed Indep
0	0	0.904956	0.6217435	Nonadmixed Indep
0	0	0.94843	0.3945659	Nonadmixed Indep
0	0	0.742402	0.7831798	Nonadmixed Indep
0	0	0.719007	0.2231251	Nonadmixed Indep
0	0	0.957431	0.1040875	Nonadmixed Indep
0	0	0.808325	0.2487401	Nonadmixed Indep
0	0	0.528215	0.1856602	Nonadmixed Indep
0	0	0.439395	0.8098976	Nonadmixed Indep
0	0	0.390338	0.5562548	Nonadmixed Indep
0	0	0.531782	0.2640369	Nonadmixed Indep
0	0	0.980456	0.6201496	Nonadmixed Indep
0	0	0.503461	0.5765796	Nonadmixed Indep
0	0	0.806062	0.8455097	Nonadmixed Indep
0	0	0.13235	0.2386821	Nonadmixed Indep
0	0	0.0330909	0.03521066	Nonadmixed Indep
0	0	0.245327	0.343675	Nonadmixed Indep
0	0	0.38355	0.7830761	Nonadmixed Indep
0	0	0.183173	0.6041828	Nonadmixed Indep
0	0	0.0959438	0.2396967	Nonadmixed Indep
0	0	0.263699	0.503199	Nonadmixed Indep
0	0	0.582114	0.652425	Nonadmixed Indep
0	0	0.286056	0.4784639	Nonadmixed Indep
0	0	0.509245	0.7765109	Nonadmixed Indep
0	0	0.351855	0.3300421	Nonadmixed Indep
0	0	0.537608	0.7195201	Nonadmixed Indep
0	0	0.740819	0.4034356	Nonadmixed Indep
0	0	0.0714449	0.5059912	Nonadmixed Indep
0	0	0.607052	0.9145905	Nonadmixed Indep
0	0	0.290053	0.5899975	Nonadmixed Indep
0	0	0.322731	0.8880272	Nonadmixed Indep
0	0	0.813058	0.8136882	Nonadmixed Indep
0	0	0.25706	0.227469	Nonadmixed Indep
0	0	0.74147	0.2947857	Nonadmixed Indep
0	0	0.728168	0.5522192	Nonadmixed Indep
0	0	0.220313	0.2760867	Nonadmixed Indep
0	0	0.556436	0.9313264	Nonadmixed Indep
0	0	0.481017	0.5277563	Nonadmixed Indep
0	0	0.183414	0.7042598	Nonadmixed Indep
0	0	0.868728	0.831728	Nonadmixed Indep
0	0	0.0247806	0.08997195	Nonadmixed Indep
0	0	0.682619	0.8038674	Nonadmixed Indep
0	0	0.594975	0.1843062	Nonadmixed Indep
0	0	0.339282	0.1705889	Nonadmixed Indep
0	0	0.0959438	0.2396967	Nonadmixed Indep
0	0	0.570545	0.2468879	Nonadmixed Indep
0	0	0.483545	0.8172092	Nonadmixed Indep
0	0	0.938049	0.7499118	Nonadmixed Indep
0	0	0.350564	0.8666853	Nonadmixed Indep
0	0	0.198785	0.1033013	Nonadmixed Indep
0	0	0.232144	0.01169449	Nonadmixed Indep
0	0	0.108115	0.5246456	Nonadmixed Indep
0	0	0.804999	0.8312628	Nonadmixed Indep
0	0	0.857568	0.8653665	Nonadmixed Indep
0	0	0.472035	0.470421	Nonadmixed Indep
0	0	0.0458204	0.3326086	Nonadmixed Indep
0	0	0.601482	0.988975	Nonadmixed Indep
0	0	0.129804	0.4126571	Nonadmixed Indep
0	0	0.415497	0.1725906	Nonadmixed Indep
0	0	0.383813	0.1788373	Nonadmixed Indep
0	0	0.493076	0.5455244	Nonadmixed Indep
0	0	0.938814	0.8370984	Nonadmixed Indep
0	0	0.432834	0.7771008	Nonadmixed Indep
0	0	0.0944329	0.4297453	Nonadmixed Indep
0	0	0.740122	0.4900709	Nonadmixed Indep
0	0	0.831859	0.1558592	Nonadmixed Indep
0	0	0.826064	0.9020262	Nonadmixed Indep
0	0	0.790033	0.7134048	Nonadmixed Indep
0	0	0.567607	0.01161951	Nonadmixed Indep
0	0	0.085506	0.1326735	Nonadmixed Indep
0	0	0.385418	0.4278462	Nonadmixed Indep
0	0	0.632221	0.6702593	Nonadmixed Indep
0	0	0.746048	0.3338346	Nonadmixed Indep
0	0	0.981482	0.06201981	Nonadmixed Indep
0	0	0.624396	0.7076626	Nonadmixed Indep
0	0	0.272467	0.2933152	Nonadmixed Indep
0	0	0.559421	0.4890142	Nonadmixed Indep
0	0	0.0733403	0.5557197	Nonadmixed Indep
0	0	0.835085	0.7785803	Nonadmixed Indep
0	0	0.0792587	0.4863623	Nonadmixed Indep
0	0	0.198853	0.2810997	Nonadmixed Indep
0	0	0.195452	0.8866061	Nonadmixed Indep
0	0	0.23109	0.2520531	Nonadmixed Indep
0	0	0.607612	0.7145706	Nonadmixed Indep
0	0	0.514125	0.8979561	Nonadmixed Indep
0	0	0.188491	0.4972969	Nonadmixed Indep
0	0	0.25141	0.4371257	Nonadmixed Indep
0	0	0.654295	0.7712756	Nonadmixed Indep
0	0	0.327729	0.1330807	Nonadmixed Indep
0	0	0.786647	0.153523	Nonadmixed Indep
0	0	0.841129	0.8585416	Nonadmixed Indep
0	0	0.399299	0.4422369	Nonadmixed Indep
0	0	0.0453574	0.06535896	Nonadmixed Indep
0	0	0.904175	0.5072409	Nonadmixed Indep
0	0	0.423554	0.9560595	Nonadmixed Indep
0	0	0.61368	0.4810503	Nonadmixed Indep
0	0	0.687758	0.1329138	Nonadmixed Indep
0	0	0.618278	0.20797	Nonadmixed Indep
0	0	0.917875	0.9709531	Nonadmixed Indep
0	0	0.0232425	0.1399538	Nonadmixed Indep
0	0	0.015969	0.2549445	Nonadmixed Indep
0	0	0.333037	0.6799178	Nonadmixed Indep
0	0	0.734053	0.3218979	Nonadmixed Indep
0	0	0.359135	0.3894363	Nonadmixed Indep
0	0	0.0429317	0.22643	Nonadmixed Indep
0	0	0.889582	0.2948523	Nonadmixed Indep
0	0	0.421596	0.9172126	Nonadmixed Indep
0	0	0.490117	0.7667243	Nonadmixed Indep
0	0	0.531867	0.1994983	Nonadmixed Indep
