rho	e	Marginal pval	Multivariate pval	type
0	0.1	0.00195924	0.0005269719	Nonadmixed Indep
0	0.1	0.159543	0.08923211	Nonadmixed Indep
0	0.1	0.0513299	0.0240084	Nonadmixed Indep
0	0.1	0.00123981	2.454819e-05	Nonadmixed Indep
0	0.1	0.0190595	0.002732757	Nonadmixed Indep
0	0.1	0.00181077	0.00912969	Nonadmixed Indep
0	0.1	0.416651	6.974957e-07	Nonadmixed Indep
0	0.1	0.00533713	0.05687697	Nonadmixed Indep
0	0.1	0.192071	2.771691e-05	Nonadmixed Indep
0	0.1	0.174898	0.004518338	Nonadmixed Indep
0	0.1	0.0293935	0.004521306	Nonadmixed Indep
0	0.1	0.000134701	3.277667e-11	Nonadmixed Indep
0	0.1	0.0224547	0.09109096	Nonadmixed Indep
0	0.1	5.03211e-05	2.571226e-08	Nonadmixed Indep
0	0.1	1.78464e-05	5.132658e-06	Nonadmixed Indep
0	0.1	0.0256894	1.003036e-05	Nonadmixed Indep
0	0.1	0.0224304	6.973996e-05	Nonadmixed Indep
0	0.1	0.000228447	9.698649e-06	Nonadmixed Indep
0	0.1	0.291566	0.01379578	Nonadmixed Indep
0	0.1	0.501077	0.02051194	Nonadmixed Indep
0	0.1	0.000589399	3.633683e-06	Nonadmixed Indep
0	0.1	0.183061	9.183587e-06	Nonadmixed Indep
0	0.1	0.0677553	0.3198681	Nonadmixed Indep
0	0.1	0.523055	0.08440535	Nonadmixed Indep
0	0.1	0.124796	1.0626e-06	Nonadmixed Indep
0	0.1	0.0338141	9.698358e-06	Nonadmixed Indep
0	0.1	0.0988915	1.850391e-06	Nonadmixed Indep
0	0.1	0.013278	1.391255e-06	Nonadmixed Indep
0	0.1	0.00326557	2.795173e-05	Nonadmixed Indep
0	0.1	0.00892399	0.01044569	Nonadmixed Indep
0	0.1	0.0162892	9.975501e-07	Nonadmixed Indep
0	0.1	0.884165	0.05167675	Nonadmixed Indep
0	0.1	0.14397	0.06613468	Nonadmixed Indep
0	0.1	0.331708	0.03330637	Nonadmixed Indep
0	0.1	0.349705	0.01709972	Nonadmixed Indep
0	0.1	0.155641	5.451821e-05	Nonadmixed Indep
0	0.1	0.64647	0.003399528	Nonadmixed Indep
0	0.1	0.720963	0.03568273	Nonadmixed Indep
0	0.1	0.0274565	3.534996e-05	Nonadmixed Indep
0	0.1	0.236834	0.0009758496	Nonadmixed Indep
0	0.1	0.011175	0.0001528871	Nonadmixed Indep
0	0.1	1.39072e-05	3.770913e-06	Nonadmixed Indep
0	0.1	0.168343	0.001105238	Nonadmixed Indep
0	0.1	0.25809	0.001767424	Nonadmixed Indep
0	0.1	0.00880605	0.002317144	Nonadmixed Indep
0	0.1	0.0690701	3.90673e-05	Nonadmixed Indep
0	0.1	0.0394094	0.0005843766	Nonadmixed Indep
0	0.1	0.000208163	9.662951e-07	Nonadmixed Indep
0	0.1	0.126084	0.001945313	Nonadmixed Indep
0	0.1	0.0907512	1.291326e-05	Nonadmixed Indep
0	0.1	0.83461	0.5299607	Nonadmixed Indep
0	0.1	0.0272388	6.713837e-05	Nonadmixed Indep
0	0.1	0.00111611	1.624934e-06	Nonadmixed Indep
0	0.1	0.000413295	0.0001452768	Nonadmixed Indep
0	0.1	0.0112168	0.01388423	Nonadmixed Indep
0	0.1	0.0743768	0.001794537	Nonadmixed Indep
0	0.1	0.167003	0.0008158155	Nonadmixed Indep
0	0.1	0.0382574	0.02290282	Nonadmixed Indep
0	0.1	0.0319305	0.0006195904	Nonadmixed Indep
0	0.1	0.199126	7.845664e-05	Nonadmixed Indep
0	0.1	0.200819	1.752306e-06	Nonadmixed Indep
0	0.1	0.0322364	1.008747e-05	Nonadmixed Indep
0	0.1	0.504136	0.03099905	Nonadmixed Indep
0	0.1	0.0361032	9.672613e-07	Nonadmixed Indep
0	0.1	0.151451	5.5874e-05	Nonadmixed Indep
0	0.1	0.367684	0.1708292	Nonadmixed Indep
0	0.1	0.026395	0.009841994	Nonadmixed Indep
0	0.1	0.0979173	0.00117822	Nonadmixed Indep
0	0.1	0.00868732	0.0001273133	Nonadmixed Indep
0	0.1	0.0607507	8.075715e-05	Nonadmixed Indep
0	0.1	0.0242806	0.02539681	Nonadmixed Indep
0	0.1	0.405061	0.007258238	Nonadmixed Indep
0	0.1	0.0136799	0.02331652	Nonadmixed Indep
0	0.1	0.11183	0.1088869	Nonadmixed Indep
0	0.1	0.405529	0.00120672	Nonadmixed Indep
0	0.1	0.60262	0.07874967	Nonadmixed Indep
0	0.1	0.019123	9.126114e-06	Nonadmixed Indep
0	0.1	0.00964654	0.012753	Nonadmixed Indep
0	0.1	0.258411	0.002071814	Nonadmixed Indep
0	0.1	0.00795301	0.000295301	Nonadmixed Indep
0	0.1	0.0416563	0.0007056532	Nonadmixed Indep
0	0.1	0.447968	0.4709136	Nonadmixed Indep
0	0.1	0.155544	0.04605431	Nonadmixed Indep
0	0.1	0.718946	0.0006129394	Nonadmixed Indep
0	0.1	0.063745	1.65776e-06	Nonadmixed Indep
0	0.1	0.0158734	6.538615e-07	Nonadmixed Indep
0	0.1	0.826518	0.004644051	Nonadmixed Indep
0	0.1	0.00423675	6.627134e-05	Nonadmixed Indep
0	0.1	0.206712	0.002120721	Nonadmixed Indep
0	0.1	0.00575568	1.648838e-08	Nonadmixed Indep
0	0.1	0.102408	0.0001463348	Nonadmixed Indep
0	0.1	0.16675	0.007309721	Nonadmixed Indep
0	0.1	0.0719796	0.2400236	Nonadmixed Indep
0	0.1	0.0303409	8.176148e-07	Nonadmixed Indep
0	0.1	0.588144	0.0003577078	Nonadmixed Indep
0	0.1	0.0223228	3.726443e-05	Nonadmixed Indep
0	0.1	0.0631068	0.0002067226	Nonadmixed Indep
0	0.1	0.00229164	4.640112e-06	Nonadmixed Indep
0	0.1	0.0103919	0.003538771	Nonadmixed Indep
0	0.1	0.002064	0.0006029715	Nonadmixed Indep
0	0.1	0.039589	0.005367454	Nonadmixed Indep
0	0.1	0.00237929	0.0004694898	Nonadmixed Indep
