rho	e1	e2	e3	e4	pval1	pval2	pval3	pval4	Fisher	mvLMMs
0.1	0.1	0.1	0.1	0.1	0.00510826	0.152148	0.0210447	0.00076569	1.909995e-05	0.0002673846
0.1	0.1	0.1	0.1	0.1	0.424957	0.936856	0.0269043	0.622205	0.2643467	0.1670596
0.1	0.1	0.1	0.1	0.1	0.000137712	0.00128261	0.0663344	2.46552e-05	1.956899e-09	2.080369e-07
0.1	0.1	0.1	0.1	0.1	0.00166856	0.000514197	0.019555	0.254109	8.19594e-06	0.0001813462
0.1	0.1	0.1	0.1	0.1	0.0115018	0.0787234	0.947334	0.0289565	0.007129107	0.01624963
0.1	0.1	0.1	0.1	0.1	0.0862367	0.00823475	0.000664079	0.343972	0.0001357971	0.0007308866
0.1	0.1	0.1	0.1	0.1	0.769284	0.000971182	0.00347219	0.132257	0.0002833559	0.001074019
0.1	0.1	0.1	0.1	0.1	9.05204e-05	0.00411077	0.00150268	0.000369637	1.973957e-09	6.02442e-07
0.1	0.1	0.1	0.1	0.1	0.00538533	0.370451	0.138839	0.550795	0.02571045	0.04795399
0.1	0.1	0.1	0.1	0.1	0.0712024	0.0369253	0.000492937	0.00212928	5.765539e-06	9.881033e-05
0.1	0.1	0.1	0.1	0.1	0.0352993	0.0324744	0.0582098	0.00348927	0.0002295171	0.002678292
0.1	0.1	0.1	0.1	0.1	0.00285717	0.0226161	0.000178709	0.0475395	1.32213e-06	4.211674e-05
0.1	0.1	0.1	0.1	0.1	0.000491964	0.219471	0.0519628	0.0761751	0.0003125689	0.00196369
0.1	0.1	0.1	0.1	0.1	0.0107612	0.0132303	0.0688688	0.0854986	0.0005646652	0.01133733
0.1	0.1	0.1	0.1	0.1	0.336843	0.491725	0.0379066	0.0627072	0.04953456	0.1152556
0.1	0.1	0.1	0.1	0.1	0.00299973	0.458139	0.0734134	0.294125	0.008328301	0.02493385
0.1	0.1	0.1	0.1	0.1	0.00362825	0.0391951	0.0553994	0.547431	0.001878402	0.006699637
0.1	0.1	0.1	0.1	0.1	0.477198	0.0136965	0.00955528	0.00174809	0.0001080639	0.0009638698
0.1	0.1	0.1	0.1	0.1	0.0439319	0.0834024	0.142457	0.000522266	0.0002186112	0.002215446
0.1	0.1	0.1	0.1	0.1	0.0378629	0.000447569	0.647322	0.0324424	0.0002846385	0.001135488
0.1	0.1	0.1	0.1	0.1	0.173849	0.282956	0.310812	0.146276	0.1452749	0.4733158
0.1	0.1	0.1	0.1	0.1	0.00278707	0.00196719	0.15242	0.000420336	1.180402e-06	0.0001725663
0.1	0.1	0.1	0.1	0.1	0.00100825	0.0402698	0.0606268	0.00416588	1.672719e-05	0.000351277
0.1	0.1	0.1	0.1	0.1	0.293373	0.00528689	0.59974	0.00011529	0.0001221162	0.0005631689
0.1	0.1	0.1	0.1	0.1	0.0941004	0.0162792	0.00805072	0.0209503	0.0002367638	0.003453464
0.1	0.1	0.1	0.1	0.1	4.88733e-06	0.183412	0.000722316	0.0357233	9.593598e-08	1.228491e-06
0.1	0.1	0.1	0.1	0.1	0.00416949	0.0165488	0.0235847	0.0652105	0.0001130932	0.002012478
0.1	0.1	0.1	0.1	0.1	0.342157	0.0697142	0.0368196	0.0991989	0.01919901	0.08858436
0.1	0.1	0.1	0.1	0.1	0.00288184	0.0190272	2.27061e-07	0.00333158	3.657564e-10	5.476567e-08
0.1	0.1	0.1	0.1	0.1	0.0386118	0.00866216	0.0479247	0.0565733	0.0005675281	0.006440555
0.1	0.1	0.1	0.1	0.1	0.00358694	0.000833502	0.0167747	0.0010806	2.04601e-07	1.770604e-05
0.1	0.1	0.1	0.1	0.1	0.285871	0.000181146	0.0887521	0.000648644	5.436771e-06	6.680212e-05
0.1	0.1	0.1	0.1	0.1	0.306405	0.141424	0.425916	0.00211201	0.01020141	0.02601655
0.1	0.1	0.1	0.1	0.1	0.18527	0.00399866	0.00252091	0.0430014	8.431521e-05	0.0009483009
0.1	0.1	0.1	0.1	0.1	0.0245782	0.000411377	0.00718262	0.0210836	4.050764e-06	0.0001746834
